WKT,element
"POLYGON ((378806.129 4657814.009 0.0,378791.409 4657799.499 0.0,378785.189 4657818.499 0.0,378806.129 4657814.009 0.0))",80
"POLYGON ((378811.649 4657796.169 0.0,378826.589 4657808.499 0.0,378832.809 4657789.499 0.0,378811.649 4657796.169 0.0))",81
"POLYGON ((378806.129 4657814.009 0.0,378826.589 4657808.499 0.0,378811.649 4657796.169 0.0,378806.129 4657814.009 0.0))",82
"POLYGON ((378811.649 4657796.169 0.0,378797.689 4657780.499 0.0,378791.409 4657799.499 0.0,378811.649 4657796.169 0.0))",83
"POLYGON ((378791.409 4657799.499 0.0,378806.129 4657814.009 0.0,378811.649 4657796.169 0.0,378791.409 4657799.499 0.0))",84
"POLYGON ((378871.809 4657839.499 0.0,378885.089 4657826.999 0.0,378862.059 4657822.329 0.0,378871.809 4657839.499 0.0))",85
"POLYGON ((378890.499 4657807.499 0.0,378880.189 4657802.999 0.0,378885.089 4657826.999 0.0,378890.499 4657807.499 0.0))",86
"POLYGON ((378886.809 4657638.999 0.0,378909.049 4657640.519 0.0,378896.499 4657617.499 0.0,378886.809 4657638.999 0.0))",87
"POLYGON ((378909.049 4657640.519 0.0,378886.809 4657638.999 0.0,378899.809 4657656.999 0.0,378909.049 4657640.519 0.0))",88
"POLYGON ((378929.089 4657641.999 0.0,378918.859 4657626.609 0.0,378909.049 4657640.519 0.0,378929.089 4657641.999 0.0))",89
"POLYGON ((378918.859 4657626.609 0.0,378896.499 4657617.499 0.0,378909.049 4657640.519 0.0,378918.859 4657626.609 0.0))",90
"POLYGON ((378854.909 4657665.499 0.0,378859.409 4657654.999 0.0,378838.189 4657657.499 0.0,378854.909 4657665.499 0.0))",91
"POLYGON ((378850.129 4657636.879 0.0,378859.409 4657654.999 0.0,378866.499 4657639.499 0.0,378850.129 4657636.879 0.0))",92
"POLYGON ((378852.139 4657840.459 0.0,378838.409 4657821.499 0.0,378829.689 4657845.999 0.0,378852.139 4657840.459 0.0))",93
"POLYGON ((378838.409 4657821.499 0.0,378852.139 4657840.459 0.0,378862.059 4657822.329 0.0,378838.409 4657821.499 0.0))",94
"POLYGON ((378871.809 4657839.499 0.0,378852.139 4657840.459 0.0,378866.309 4657852.999 0.0,378871.809 4657839.499 0.0))",95
"POLYGON ((378852.139 4657840.459 0.0,378871.809 4657839.499 0.0,378862.059 4657822.329 0.0,378852.139 4657840.459 0.0))",96
"POLYGON ((378855.859 4657333.979 0.0,378850.079 4657350.689 0.0,378868.289 4657338.799 0.0,378855.859 4657333.979 0.0))",97
"POLYGON ((378516.139 4656808.429 0.0,378503.009 4656779.299 0.0,378496.879 4656815.689 0.0,378516.139 4656808.429 0.0))",98
"POLYGON ((378889.439 4652696.651 0.0,379202.589 4652604.0 0.0,379083.909 4652388.5 0.0,378889.439 4652696.651 0.0))",99
"POLYGON ((378889.439 4652696.651 0.0,379083.909 4652388.5 0.0,378799.409 4652483.5 0.0,378889.439 4652696.651 0.0))",100
"POLYGON ((378862.059 4657822.329 0.0,378885.089 4657826.999 0.0,378880.189 4657802.999 0.0,378862.059 4657822.329 0.0))",101
"POLYGON ((376892.594 4653105.5 0.0,377082.361 4653250.139 0.0,377088.0 4653041.5 0.0,376892.594 4653105.5 0.0))",102
"POLYGON ((378446.079 4656834.829 0.0,378477.239 4656852.449 0.0,378474.329 4656824.179 0.0,378446.079 4656834.829 0.0))",103
"POLYGON ((378838.189 4657657.499 0.0,378859.409 4657654.999 0.0,378850.129 4657636.879 0.0,378838.189 4657657.499 0.0))",104
"POLYGON ((378850.079 4657350.689 0.0,378867.709 4657352.019 0.0,378868.289 4657338.799 0.0,378850.079 4657350.689 0.0))",105
"POLYGON ((378169.249 4653002.951 0.0,378228.909 4652669.5 0.0,377943.689 4652762.5 0.0,378169.249 4653002.951 0.0))",106
"POLYGON ((378883.029 4657559.829 0.0,378867.329 4657570.559 0.0,378882.059 4657576.199 0.0,378883.029 4657559.829 0.0))",107
"POLYGON ((378267.419 4656583.999 0.0,378233.299 4656580.239 0.0,378247.249 4656606.629 0.0,378267.419 4656583.999 0.0))",108
"POLYGON ((378477.239 4656852.449 0.0,378478.309 4656879.889 0.0,378513.369 4656867.689 0.0,378477.239 4656852.449 0.0))",109
"POLYGON ((377324.763 4655212.459 0.0,377232.529 4655138.429 0.0,377256.137 4655233.079 0.0,377324.763 4655212.459 0.0))",110
"POLYGON ((377232.529 4655138.429 0.0,377324.763 4655212.459 0.0,377351.82 4655089.299 0.0,377232.529 4655138.429 0.0))",111
"POLYGON ((378757.999 4657381.129 0.0,378747.589 4657401.409 0.0,378770.669 4657396.209 0.0,378757.999 4657381.129 0.0))",112
