WKT,node
"POINT (378789.039 4657559.679 0.0)",252
"POINT (378806.729 4657567.469 0.0)",253
"POINT (378828.529 4657556.779 0.0)",254
"POINT (378813.999 4657550.909 0.0)",255
"POINT (378844.459 4657543.919 0.0)",256
"POINT (378742.679 4657595.169 0.0)",257
"POINT (378754.499 4657569.649 0.0)",258
"POINT (378918.859 4657626.609 0.0)",259
"POINT (378896.499 4657617.499 0.0)",260
"POINT (378900.289 4657596.419 0.0)",261
"POINT (378895.959 4657575.769 0.0)",262
"POINT (378866.909 4657551.009 0.0)",263
"POINT (378883.029 4657559.829 0.0)",264
"POINT (378857.149 4657530.919 0.0)",265
"POINT (378773.169 4657548.569 0.0)",266
"POINT (378761.039 4657527.099 0.0)",267
"POINT (378798.579 4657543.879 0.0)",268
"POINT (378838.089 4657525.399 0.0)",269
"POINT (378822.169 4657535.499 0.0)",270
"POINT (378730.009 4657568.109 0.0)",271
"POINT (378744.729 4657544.189 0.0)",272
"POINT (378934.999 4657622.499 0.0)",273
"POINT (378919.279 4657601.549 0.0)",274
"POINT (378910.979 4657567.079 0.0)",275
"POINT (378915.849 4657583.139 0.0)",276
"POINT (378883.989 4657543.469 0.0)",277
"POINT (378894.669 4657538.259 0.0)",278
"POINT (378872.999 4657535.059 0.0)",279
"POINT (378899.989 4657554.629 0.0)",280
"POINT (378868.389 4657519.569 0.0)",281
"POINT (378871.419 4657509.089 0.0)",282
"POINT (378848.609 4657514.239 0.0)",283
"POINT (378803.569 4657520.009 0.0)",284
"POINT (378781.769 4657523.709 0.0)",285
"POINT (378825.019 4657509.759 0.0)",286
"POINT (378716.989 4657541.219 0.0)",287
"POINT (378761.849 4657504.469 0.0)",288
"POINT (378940.909 4657603.499 0.0)",289
"POINT (378932.339 4657586.049 0.0)",290
"POINT (378926.379 4657568.969 0.0)",291
"POINT (378908.109 4657539.299 0.0)",292
"POINT (378884.829 4657529.119 0.0)",293
"POINT (378916.719 4657552.909 0.0)",294
"POINT (378879.369 4657501.949 0.0)",295
"POINT (378885.629 4657515.489 0.0)",296
"POINT (378934.569 4657553.899 0.0)",297
"POINT (378948.449 4657554.269 0.0)",298
"POINT (378858.079 4657503.089 0.0)",299
"POINT (378850.839 4657478.509 0.0)",300
"POINT (378841.179 4657495.489 0.0)",301
"POINT (378788.629 4657502.889 0.0)",302
"POINT (378805.159 4657498.749 0.0)",303
"POINT (378823.069 4657487.339 0.0)",304
"POINT (378737.199 4657517.679 0.0)",305
"POINT (378703.869 4657514.379 0.0)",306
"POINT (378741.649 4657496.479 0.0)",307
"POINT (378773.849 4657483.069 0.0)",308
"POINT (378946.409 4657587.499 0.0)",309
"POINT (378945.189 4657571.649 0.0)",310
"POINT (378970.469 4657552.739 0.0)",311
"POINT (378959.949 4657559.289 0.0)",312
"POINT (378897.919 4657525.489 0.0)",313
"POINT (378926.869 4657536.439 0.0)",314
"POINT (378897.969 4657505.899 0.0)",315
"POINT (378942.259 4657524.389 0.0)",316
"POINT (378944.079 4657540.939 0.0)",317
"POINT (378981.919 4657553.749 0.0)",318
"POINT (378958.459 4657545.579 0.0)",319
"POINT (378858.349 4657487.959 0.0)",320
"POINT (378873.809 4657488.449 0.0)",321
"POINT (378834.789 4657472.699 0.0)",322
"POINT (378792.519 4657485.719 0.0)",323
"POINT (378805.579 4657479.469 0.0)",324
"POINT (378841.649 4657457.319 0.0)",325
"POINT (378852.009 4657464.169 0.0)",326
"POINT (378690.759 4657487.539 0.0)",327
"POINT (378723.529 4657493.929 0.0)",328
"POINT (378748.799 4657480.369 0.0)",329
"POINT (378762.519 4657465.269 0.0)",330
"POINT (378949.089 4657609.999 0.0)",331
