WKT,element
"POLYGON ((582863.182 5035217.461,582919.356 5035262.002,582918.253 5035270.827,582863.182 5035217.461))",128
"POLYGON ((583021.939 5035253.178,583062.943 5035230.92,583058.339 5035268.621,583021.939 5035253.178))",129
"POLYGON ((582919.356 5035262.002,582925.974 5035245.457,582920.459 5035285.166,582919.356 5035262.002))",130
"POLYGON ((582913.841 5035307.227,582776.9 5035364.153,582863.182 5035217.461,582913.841 5035307.227))",131
"POLYGON ((582913.841 5035307.227,582918.253 5035270.827,582920.459 5035285.166,582913.841 5035307.227))",132
"POLYGON ((583088.121 5035276.342,583095.37 5035259.19,583110.182 5035275.239,583088.121 5035276.342))",133
"POLYGON ((583095.37 5035259.19,583124.472 5035266.674,583110.182 5035275.239,583095.37 5035259.19))",134
"POLYGON ((583095.37 5035259.19,583079.78 5035192.361,583124.472 5035266.674,583095.37 5035259.19))",135
"POLYGON ((583110.182 5035275.239,583124.472 5035266.674,583121.212 5035280.754,583110.182 5035275.239))",136
"POLYGON ((583088.121 5035276.342,583058.339 5035268.621,583095.37 5035259.19,583088.121 5035276.342))",137
"POLYGON ((583110.182 5035275.239,583107.976 5035289.578,583092.533 5035308.33,583110.182 5035275.239))",138
"POLYGON ((583131.955 5035324.045,583084.812 5035334.803,583092.533 5035308.33,583131.955 5035324.045))",139
"POLYGON ((583131.955 5035324.045,583092.533 5035308.33,583107.976 5035289.578,583131.955 5035324.045))",140
"POLYGON ((583138.191 5035294.112,583131.955 5035324.045,583107.976 5035289.578,583138.191 5035294.112))",141
"POLYGON ((583138.191 5035294.112,583121.212 5035280.754,583124.472 5035266.674,583138.191 5035294.112))",142
"POLYGON ((583131.955 5035324.045,583138.191 5035294.112,583151.079 5035345.664,583131.955 5035324.045))",143
"POLYGON ((583138.191 5035294.112,583107.976 5035289.578,583121.212 5035280.754,583138.191 5035294.112))",144
"POLYGON ((583107.976 5035289.578,583110.182 5035275.239,583121.212 5035280.754,583107.976 5035289.578))",145
"POLYGON ((583131.955 5035324.045,583122.315 5035356.864,583084.812 5035334.803,583131.955 5035324.045))",146
"POLYGON ((583124.472 5035266.674,583234.018 5035291.462,583138.191 5035294.112,583124.472 5035266.674))",147
"POLYGON ((583095.37 5035259.19,583058.339 5035268.621,583062.943 5035230.92,583095.37 5035259.19))",148
"POLYGON ((582688.821 5035371.203,582667.863 5035366.791,582644.699 5035342.524,582688.821 5035371.203))",149
"POLYGON ((582747.282 5035354.658,582760.519 5035352.452,582776.9 5035364.153,582747.282 5035354.658))",150
"POLYGON ((582711.985 5035367.894,582628.154 5035280.754,582747.282 5035354.658,582711.985 5035367.894))",151
"POLYGON ((582863.182 5035217.461,582776.9 5035364.153,582760.519 5035352.452,582863.182 5035217.461))",152
"POLYGON ((582644.699 5035342.524,582628.154 5035280.754,582711.985 5035367.894,582644.699 5035342.524))",153
"POLYGON ((582747.282 5035354.658,582628.154 5035280.754,582804.147 5035193.348,582747.282 5035354.658))",154
"POLYGON ((582711.985 5035367.894,582688.821 5035371.203,582644.699 5035342.524,582711.985 5035367.894))",155
"POLYGON ((582801.331 5035406.5,582781.476 5035417.531,582778.167 5035385.543,582801.331 5035406.5))",156
"POLYGON ((582778.167 5035385.543,582776.9 5035364.153,582820.083 5035395.47,582778.167 5035385.543))",157
"POLYGON ((582801.331 5035406.5,582778.167 5035385.543,582820.083 5035395.47,582801.331 5035406.5))",158
"POLYGON ((582820.083 5035395.47,582776.9 5035364.153,582849.865 5035388.852,582820.083 5035395.47))",159
"POLYGON ((582917.15 5035338.112,582849.865 5035388.852,582913.841 5035307.227,582917.15 5035338.112))",160
"POLYGON ((582849.865 5035388.852,582906.12 5035366.791,582879.647 5035387.749,582849.865 5035388.852))",161
"POLYGON ((582913.841 5035307.227,582849.865 5035388.852,582776.9 5035364.153,582913.841 5035307.227))",162
"POLYGON ((582906.12 5035366.791,582849.865 5035388.852,582917.15 5035338.112,582906.12 5035366.791))",163
"POLYGON ((583131.955 5035324.045,583151.079 5035345.664,583122.315 5035356.864,583131.955 5035324.045))",164
"POLYGON ((583234.018 5035291.462,583234.85 5035291.462,583227.016 5035345.37,583234.018 5035291.462))",165
"POLYGON ((583124.472 5035266.674,583135.489 5035148.293,583234.018 5035291.462,583124.472 5035266.674))",166
"POLYGON ((583400.312 5035306.428,583364.559 5035284.81,583435.716 5035257.65,583400.312 5035306.428))",167
"POLYGON ((583445.277 5035277.19,583435.716 5035257.65,583484.357 5035260.56,583445.277 5035277.19))",168
"POLYGON ((583400.312 5035306.428,583435.716 5035257.65,583445.277 5035277.19,583400.312 5035306.428))",169
"POLYGON ((583234.018 5035291.462,583167.916 5035111.708,583329.637 5035249.057,583234.018 5035291.462))",170
"POLYGON ((583227.016 5035345.37,583234.85 5035291.462,583244.477 5035366.989,583227.016 5035345.37))",171
"POLYGON ((583151.079 5035345.664,583211.218 5035345.37,583204.982 5035368.652,583151.079 5035345.664))",172
"POLYGON ((583138.191 5035294.112,583211.218 5035345.37,583151.079 5035345.664,583138.191 5035294.112))",173
"POLYGON ((583227.016 5035345.37,583211.218 5035345.37,583234.018 5035291.462,583227.016 5035345.37))",174
"POLYGON ((583434.403 5035355.485,583400.312 5035306.428,583445.277 5035277.19,583434.403 5035355.485))",175
"POLYGON ((583211.218 5035345.37,583227.016 5035345.37,583204.982 5035368.652,583211.218 5035345.37))",176
"POLYGON ((583518.447 5035318.763,583505.559 5035407.731,583503.481 5035300.471,583518.447 5035318.763))",177
"POLYGON ((583211.218 5035345.37,583138.191 5035294.112,583234.018 5035291.462,583211.218 5035345.37))",178
"POLYGON ((583484.357 5035260.56,583503.481 5035300.471,583445.277 5035277.19,583484.357 5035260.56))",179
"POLYGON ((583503.481 5035300.471,583484.357 5035260.56,583514.64 5035276.34,583503.481 5035300.471))",180
"POLYGON ((583514.64 5035276.34,583562.449 5035277.327,583529.606 5035297.126,583514.64 5035276.34))",181
"POLYGON ((583514.64 5035276.34,583484.357 5035260.56,583508.82 5035229.777,583514.64 5035276.34))",182
